"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"4","PLAYERUNKNOWN'S BATTLEGROUNDS","Dec 21, 2017","$29.99","N/A (N/A/86%)","50,000,000 .. 100,000,000","15:55 (05:02)","PUBG Corporation","PUBG Corporation"
"5","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","04:59 (07:45)","Grinding Gear Games","Grinding Gear Games"
"9","PlanetSide 2","Nov 20, 2012","Free","N/A (N/A/84%)","10,000,000 .. 20,000,000","00:03 (00:01)","Daybreak Game Company","Daybreak Game Company"
"17","War Thunder","Aug 15, 2013","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","05:43 (04:13)","Gaijin Entertainment","Gaijin Entertainment"
"46","Z1 Battle Royale","Feb 28, 2018","Free","N/A (N/A/70%)","10,000,000 .. 20,000,000","74:50 (74:35)","Daybreak Game Company","Daybreak Game Company"
"60","Warface","Jul 1, 2014","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","10:25 (12:13)","MY.GAMES","MY.GAMES"
"68","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:05 (01:43)","Freejam","Freejam"
"222","Trove","Jul 9, 2015","Free","N/A (N/A)","10,000,000 .. 20,000,000","03:44 (02:45)","Trion Worlds","Trion Worlds"
"253","Heroes & Generals","Oct 18, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","10:52 (07:32)","RETO MOTO","RETO MOTO"
"274","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"15","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","5,000,000 .. 10,000,000","10:44 (08:40)","Wargaming Group Limited","Wargaming Group Limited"
"32","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","02:19 (01:32)","Cryptic Studios","Perfect World Entertainment"
"33","Black Desert Online","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","18:04 (18:03)","Pearl Abyss","Kakao Games Europe B.V."
"45","ARK: Survival Evolved","Aug 27, 2017","$49.99","N/A (N/A/70%)","5,000,000 .. 10,000,000","07:43 (07:09)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"50","Rust","Feb 8, 2018","$34.99","N/A (N/A/69%)","5,000,000 .. 10,000,000","24:17 (23:14)","Facepunch Studios","Facepunch Studios"
"255","Creativerse","May 8, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:11 (00:03)","Playful Corp.","Playful Corp."
